지역,연월,거래량,평균매매가격(천만원),매매지수,기준금리(%)
서울,2021-01-01,14004,90,167.8,0.5
부산,2021-01-01,5212,33,112.4,0.5
인천,2021-01-01,6444,33,115.4,0.5
광주,2021-01-01,2678,24,120.6,0.5
대전,2021-01-01,2900,34,144.5,0.5
울산,2021-01-01,1765,27,103.4,0.5
경기,2021-01-01,35564,44,132.3,0.5
서울,2021-02-01,8804,90,170.2,0.5
부산,2021-02-01,6151,34,113.9,0.5
인천,2021-02-01,6033,34,118.1,0.5
광주,2021-02-01,3399,24,121.9,0.5
대전,2021-02-01,2211,35,146.4,0.5
울산,2021-02-01,1418,28,103.9,0.5
경기,2021-02-01,32931,45,136.7,0.5
서울,2021-03-01,8336,91,171.1,0.5
부산,2021-03-01,6322,34,114.2,0.5
인천,2021-03-01,10786,35,121.6,0.5
광주,2021-03-01,3357,24,122.3,0.5
대전,2021-03-01,2541,35,148.8,0.5
울산,2021-03-01,1646,28,104.3,0.5
경기,2021-03-01,30976,45,140.3,0.5
서울,2021-04-01,11709,91,172.1,0.5
부산,2021-04-01,8402,35,116,0.5
인천,2021-04-01,10501,36,124.9,0.5
광주,2021-04-01,3040,25,123.2,0.5
대전,2021-04-01,3023,36,151,0.5
울산,2021-04-01,1970,28,105.5,0.5
경기,2021-04-01,31944,46,143.4,0.5
서울,2021-05-01,9428,92,175.7,0.5
부산,2021-05-01,6807,35,117.9,0.5
인천,2021-05-01,9337,36,129.5,0.5
광주,2021-05-01,4236,25,123.7,0.5
대전,2021-05-01,2467,36,152.6,0.5
울산,2021-05-01,2517,28,105.6,0.5
경기,2021-05-01,30405,47,147.3,0.5
서울,2021-06-01,7421,93,179.9,0.5
부산,2021-06-01,6002,36,119.9,0.5
인천,2021-06-01,9380,38,134.9,0.5
광주,2021-06-01,2875,25,125.8,0.5
대전,2021-06-01,2702,37,156.7,0.5
울산,2021-06-01,3496,29,106.6,0.5
경기,2021-06-01,28423,48,152.4,0.5
서울,2021-07-01,7848,111,183.9,0.5
부산,2021-07-01,6734,42,122.5,0.5
인천,2021-07-01,6981,41,141.1,0.5
광주,2021-07-01,3390,29,127.9,0.5
대전,2021-07-01,1558,39,159,0.5
울산,2021-07-01,2829,32,108.3,0.5
경기,2021-07-01,29161,57,157.9,0.5
서울,2021-08-01,6655,112,187.4,0.75
부산,2021-08-01,5872,42,124.1,0.75
인천,2021-08-01,7402,42,147.4,0.75
광주,2021-08-01,3227,29,130.8,0.75
대전,2021-08-01,1661,39,162.6,0.75
울산,2021-08-01,2142,32,108.9,0.75
경기,2021-08-01,26624,59,163.7,0.75
서울,2021-09-01,5759,113,190.4,0.75
부산,2021-09-01,4351,43,125,0.75
인천,2021-09-01,5039,42,152,0.75
광주,2021-09-01,3083,29,135,0.75
대전,2021-09-01,1775,39,165.3,0.75
울산,2021-09-01,1712,32,110.2,0.75
경기,2021-09-01,25088,60,167.9,0.75
서울,2021-10-01,4316,114,190.8,0.75
부산,2021-10-01,6232,43,125.6,0.75
인천,2021-10-01,7199,43,153.9,0.75
광주,2021-10-01,3456,29,139.8,0.75
대전,2021-10-01,2342,40,167,0.75
울산,2021-10-01,1737,32,110.7,0.75
경기,2021-10-01,20148,60,170.3,0.75
서울,2021-11-01,4437,115,187.9,1
부산,2021-11-01,4651,44,125,1
인천,2021-11-01,6229,44,154.7,1
광주,2021-11-01,2354,30,140.5,1
대전,2021-11-01,2283,40,165.4,1
울산,2021-11-01,1637,33,109.9,1
경기,2021-11-01,18722,61,169.1,1
서울,2021-12-01,4931,115,184.6,1
부산,2021-12-01,4503,44,122.8,1
인천,2021-12-01,4138,44,151.6,1
광주,2021-12-01,2272,30,141.7,1
대전,2021-12-01,2236,40,161.9,1
울산,2021-12-01,1451,33,110.6,1
경기,2021-12-01,18006,61,166.4,1
서울,2022-01-01,4461,115,183.8,1.25
부산,2022-01-01,3172,44,123,1.25
인천,2022-01-01,7627,44,150.1,1.25
광주,2022-01-01,2057,30,142.4,1.25
대전,2022-01-01,1535,40,161.1,1.25
울산,2022-01-01,910,33,110.1,1.25
경기,2022-01-01,15070,61,164.7,1.25
서울,2022-02-01,3571,115,181.7,1.25
부산,2022-02-01,2526,44,123.3,1.25
인천,2022-02-01,6483,44,150.6,1.25
광주,2022-02-01,1684,30,142.4,1.25
대전,2022-02-01,1089,40,159.3,1.25
울산,2022-02-01,1688,33,109.5,1.25
경기,2022-02-01,12852,61,164.7,1.25
서울,2022-03-01,3926,115,184.6,1.25
부산,2022-03-01,5036,44,123.4,1.25
인천,2022-03-01,4298,44,150.8,1.25
광주,2022-03-01,2278,30,143.5,1.25
대전,2022-03-01,1839,40,158.5,1.25
울산,2022-03-01,1076,32,109.7,1.25
